trial,action,Metabolic Cost est,Comfort est,type
1,"[0.291497, 0.219948, 58.2845]",3.74262,1.21901,antipareto
2,"[0.290422, 0.223418, 57.2587]",3.74232,1.23053,antipareto
3,"[0.216495, 0.11311, 39.6571]",3.42311,4.34334,pareto
4,"[0.267278, 0.0959419, 31.8787]",3.5308,1.18984,antipareto
5,"[0.211487, 0.146237, 49.2983]",3.4093,3.23142,pareto
6,"[0.210765, 0.231426, 60.5818]",3.37016,2.75426,pareto
