trial_name,h_flex_torque_scale,h_flex_power_scale,h_ext_power_scale,k_ext_torque_scale,k_ext_power_scale,k_flex_torque_scale,k_flex_power_scale,cost
Trial 16,0.1723313588344555,0.0738226612869005,-0.2160162000740239,0.0348062558302265,0.0449431870181219,0.07499472212137,-0.1208664426908926,42.68104934692383
Trial 17,0.124794669379312,0.0892932583985712,-0.2394500512924172,0.0165287151646684,0.0548082177701314,0.1073148096950358,-0.131487870256457,45.0594482421875
Trial 18,0.0554692826889108,0.0677129497899638,-0.196708683196038,0.0915125769871325,0.0905944011475689,0.1579124704271776,-0.0986264391533543,45.76885223388672
Trial 19,0.0969410997688718,0.0777580608221778,-0.2132043759936565,0.0859725996684142,0.0215860060781023,0.1124757709293611,-0.1253148450019869,45.37493133544922
Trial 20,0.088665033871348,0.0447742800212542,-0.1731560191088225,0.0700265234425854,0.080686466209144,0.0983835392149751,-0.0901324740932097,45.95522689819336
Trial 21,0.161706726337126,0.0465671198274637,-0.2360122438802847,0.0035029724210861,0.0425253461912315,0.1858911998464432,-0.1065827192536703,43.40474319458008
Trial 22,0.0938078669406441,0.0614288344123648,-0.1785710163874108,0.0469409984554342,0.0613865955340267,0.0875072579381863,-0.1371045528482598,45.113128662109375
Trial 23,0.0776692197307206,0.1166848605451128,-0.176399039020842,0.0591828589837363,0.0777791531768209,0.0879415806525511,-0.104608784464443,40.64983367919922
Trial 24,0.17825974532917,0.1299022646168617,-0.117535287848484,0.0426394488625246,0.0952404881473767,0.1342597805271445,-0.0714946389194898,41.29607391357422
Trial 25,0.1359994028467273,0.0459868036746971,-0.2060344812175373,0.0832446519968639,0.0380493086526537,0.1125593996919302,-0.0775168871810482,42.88501739501953
Trial 26,0.08480730463544843,0.004454216916598461,-0.23989367344483215,0.0002261517988539707,0.12732070150078056,0.09535913379258126,-0.07824845911732067,43.10921096801758
Trial 27,0.08272833938597979,0.055714687093892074,-0.22036255445765565,0.008279705620223735,0.0472198337255499,0.11991213977781745,-0.1270862753836242,44.87851333618164
Trial 28,0.04575736666962519,0.026947449829310622,-0.2344246370002002,0.06412671221834762,0.08033594494875188,0.10939858689776301,-0.11034335100885824,43.149986267089844
Trial 29,0.12163440620214973,0.09062284234499882,-0.21510267754698012,0.05343783290784498,0.04888378593254194,0.1208210844067955,-0.13375859512105945,41.77320861816406
Trial 30,0.09480784126430528,0.05548565576179057,-0.07550183552363388,0.02473154402072594,0.02524096285229071,0.06978817172538747,-0.09367678629642884,47.12619400024414
Trial 31,0.16607154477220895,0.08230077692264713,-0.20427059393891725,0.06109956847321653,0.12421733671651666,0.08016151508556223,-0.10113674871330022,42.23849105834961
Trial 32,0.07701152666480586,0.03087620076484958,-0.12514805310159532,0.050609021930751924,0.1110951300398189,0.04537408056526779,-0.05508613815871663,47.10192108154297
Trial 33,0.1739226261183953,0.07629257662896081,-0.18870435882169162,0.07850687060328645,0.07690979073128343,0.13103645099366248,-0.11473037504123898,42.75876998901367
Trial 34,0.023803474418265236,0.15740230165274377,-0.2399904752046738,1.873692439900748e-05,0.11509063590841379,0.11275038160890005,-0.044443791962213736,42.805030822753906
Trial 35,0.1570808235489664,0.1399124134101561,-0.1638239142664229,0.05835617296444362,0.06997993858413272,0.09155087276050447,-0.1095593426702443,42.095848083496094
Trial 36,0.016997636243482054,0.12311162842452315,-0.22755369151741478,2.964733728561168e-05,0.08763396791077263,0.1005306821606815,-0.06563174754508207,44.30251693725586
Trial 37,0.2373414817879865,0.09791251869403668,-0.20686071601877093,0.012299602093890166,0.07179918262403785,0.14699710857291498,-0.07702056741326492,41.55439758300781
Trial 38,0.1489780867346467,0.16354722568943444,-0.18934576950667648,0.045543248122182134,2.6339798678899543e-05,0.14291954544066315,-0.12412553690890107,41.43894958496094
Trial 39,0.14961873729683353,0.07658970338659064,-0.21261356167343612,0.05911795990988555,0.06490033368626004,0.1161888240742747,-0.03237432594899481,43.56758117675781
Trial 40,0.11206153319924714,0.10585882522772497,-0.2323992651887493,0.06727391585502755,0.06365953302900207,0.08399235378945202,-0.12007857026658281,44.25619125366211
Trial 41,0.15133158955286402,0.030355865795690266,-0.23603451410105242,0.0993093328108044,0.050861611355153484,0.19962409344648602,-0.09258624573741975,44.5272331237793
Trial 42,0.15035134465344244,0.1472726854704393,-0.2151769783896946,0.05153561573346854,0.08038545918024513,0.12094491423987336,-0.09645929802144243,40.652015686035156
Trial 43,0.16014813453011587,0.04482734860572298,-0.23533475333131706,0.07153403584377957,0.054145022381464666,0.08300893375714388,-0.12730238891393725,44.44358444213867
Trial 44,0.17212427856815152,0.08271832085001318,-0.23331365324819464,0.0686337500157538,0.06256018948855811,0.09270773549067707,-0.15997510556295888,41.97002029418945
Trial 45,0.1814772313944529,0.08558212137011212,-0.1733246544729741,0.07051142410833564,0.08605342322477412,0.06280975547316041,-0.09815750464419115,43.560245513916016
