trial_name,h_flex_torque_scale,h_flex_power_scale,h_ext_power_scale,k_ext_torque_scale,k_ext_power_scale,k_flex_torque_scale,k_flex_power_scale,cost
Trial 1,0.1798028491806739,0.1133632661387105,-0.0889105060387111,0.1609224997244707,0.0725068779227094,0.0906341872346927,-0.0294630240797777,47.8207893371582
Trial 2,0.1960460837491745,0.0974650685119008,-0.0939567458640435,0.0814628950680803,0.0650962220696083,0.1096788365292019,-0.14122759181247,46.522586822509766
Trial 3,0.046504930049218,0.093010005811449,-0.1686165882937814,0.1125701626615534,0.0509423993780207,0.0435058343338435,-0.0330972293188401,45.88554382324219
Trial 4,0.1364534219708078,0.1232413769776303,-0.1883888899154091,0.0782242244002293,0.0835496242871036,0.0539586125972062,-0.0679771481589008,41.28300094604492
Trial 5,0.1139616786048717,0.1059986000002799,-0.148882329988778,0.1740927150643836,0.07956807646789,0.0576900517991684,-0.0536774347269311,42.33222579956055
Trial 6,0.0767493810017386,0.1300255241708594,-0.2140655097296268,0.0468714195866803,0.0862997395377988,0.1295397181709122,-0.0745159799775277,43.62196731567383
Trial 7,0.1430611030567055,0.1055469193757926,-0.1909700693885288,0.0712056146482793,0.0652591381678225,0.1422863992503332,-0.0690037434757709,43.41011047363281
Trial 8,0.0442175906782359,0.1355561416458508,-0.1384842135182901,0.0729225397626875,0.0995742004977897,0.1412414537826,-0.0501977589767496,45.97047805786133
Trial 9,0.0996469486066417,0.1051576999430913,-0.1040991281389391,0.139022641275391,0.0646659862805317,0.0925733757016015,-0.1154042364600989,44.58633041381836
Trial 10,0.1183710724039717,0.084751030747456,-0.1480921539690978,0.1336163518728002,0.0335590837221989,0.0956927599782259,-0.037415281269923,47.84407043457031
Trial 11,0.2383928343704982,0.0669804288032721,-0.1377129380629061,0.0440020122986258,0.103069553315432,0.0080773663496331,-0.0453353610760548,50.44978332519531
Trial 12,0.2111995678700106,0.1588295996117209,-0.1966955871604955,0.0910143439983445,0.099955905800141,0.1352294179150155,-0.0481859148157379,46.634124755859375
Trial 13,0.0940780335498579,0.0974907902949273,-0.1691511342077545,0.0748882223188571,0.0701952207358286,0.0651149506021394,-0.0342168412496838,45.63180160522461
Trial 14,0.131711645116478,0.1515080265513129,-0.182503381619748,0.0461052829439086,0.0942452408799826,0.0465206774092948,-0.0782552838282656,48.18497848510742
Trial 15,0.1354070003452311,0.1656802700341194,-0.1766195975557811,0.1189745381704648,0.1160619467380343,0.0713892604853067,-0.0754211158631664,44.495086669921875
Trial 16,0.1580818899428635,0.0903221459805966,-0.1468855943266474,0.167929468732354,0.083167296734158,0.019950678363107,-0.0933695854517569,44.94350814819336
Trial 17,0.2012188558653583,0.0861452033807797,-0.2023763039589295,0.1660700917470567,0.078965222468823,0.0082638691984814,-0.072839121368391,41.66337966918945
Trial 18,0.2105165856336597,0.0732293909569922,-0.2390593687886451,0.0631892237204859,0.1166377679977136,0.0097198751979297,-0.0575650203490386,39.8714485168457
