trial_name,h_flex_torque_scale,h_flex_power_scale,h_ext_power_scale,k_ext_torque_scale,k_ext_power_scale,k_flex_torque_scale,k_flex_power_scale,cost
Trial 1,0.1798028491806739,0.1133632661387105,-0.0889105060387111,0.1609224997244707,0.0725068779227094,0.0906341872346927,-0.0294630240797777,48.932186126708984
Trial 2,0.1960460837491745,0.0974650685119008,-0.0939567458640435,0.0814628950680803,0.0650962220696083,0.1096788365292019,-0.14122759181247,46.865577697753906
Trial 3,0.046504930049218,0.093010005811449,-0.1686165882937814,0.1125701626615534,0.0509423993780207,0.0435058343338435,-0.0330972293188401,50.400909423828125
Trial 4,0.1364534219708078,0.1232413769776303,-0.1883888899154091,0.0782242244002293,0.0835496242871036,0.0539586125972062,-0.0679771481589008,48.010372161865234
Trial 5,0.1139616786048717,0.1059986000002799,-0.148882329988778,0.1740927150643836,0.07956807646789,0.0576900517991684,-0.0536774347269311,51.980186462402344
Trial 6,0.0767493810017386,0.1300255241708594,-0.2140655097296268,0.0468714195866803,0.0862997395377988,0.1295397181709122,-0.0745159799775277,51.221290588378906
Trial 7,0.1430611030567055,0.1055469193757926,-0.1909700693885288,0.0712056146482793,0.0652591381678225,0.1422863992503332,-0.0690037434757709,46.99460220336914
Trial 8,0.0442175906782359,0.1355561416458508,-0.1384842135182901,0.0729225397626875,0.0995742004977897,0.1412414537826,-0.0501977589767496,46.78091049194336
Trial 9,0.0996469486066417,0.1051576999430913,-0.1040991281389391,0.139022641275391,0.0646659862805317,0.0925733757016015,-0.1154042364600989,47.09650039672851
Trial 10,0.1158028692918083,0.1379211989350397,-0.1279479305704619,0.1422785331502986,0.1073628474342465,0.0955914757767253,-0.0963904654507179,47.388614654541016
Trial 11,0.2175882562403827,0.1429537487015174,-0.1348935795540295,0.098524938974778,0.055061556066662,0.1926037129005094,-0.0301915780390632,44.704872131347656
Trial 12,0.1268883065949552,0.1247729972312066,-0.0906994141992028,0.042716174437151,0.0676909178204777,0.0689615922335294,-0.0482355447450865,47.249420166015625
Trial 13,0.1106718202220492,0.1320011649460814,-0.1828368635132616,0.1017647366219669,0.090627009657519,0.1284952970568798,-0.068529489215962,43.70343399047851
Trial 14,0.1395244549116665,0.0935698197894246,-0.1624088151200422,0.0344497079716092,0.0826902730267953,0.1570118221756422,-0.0653269472541955,43.750030517578125
Trial 15,0.0918959386269258,0.0702162984504569,-0.1143320427917646,0.054437235803092,0.0529261186394914,0.1253514342858076,-0.0816864431688709,46.599613189697266
Trial 16,0.1135262422395889,0.0903383868711278,-0.0722938737156795,0.121499849969634,0.0637159563728042,0.1810272498200331,-0.1124719138605891,44.87822723388672
Trial 17,0.0846133021083885,0.1079415178736568,-0.0464200784621128,0.1217483713686388,0.076243801900958,0.1899422034627629,-0.0764596037106064,44.36383819580078
Trial 18,0.0911871705687977,0.1611736278528935,-0.1075703236510582,0.0557607456811379,0.0657342109541291,0.1998876445969941,-0.0219717847339493,46.97893905639648
Trial 19,0.1788356156286304,0.1025593848659923,-0.1415434841890119,0.046653146911002,0.1016662026072502,0.1237908483568234,-0.0902104523286827,43.36360549926758
Trial 20,0.221704018786882,0.153854698043335,-0.1410531901791323,0.1010790734022416,0.101744711978512,0.1266234081995176,-0.0686117277230608,42.14666366577149
Trial 21,0.1343374071090632,0.0863456896061527,-0.2102379808898015,0.0830556654007177,0.0421709030868827,0.1185532870266629,-0.0687300038528984,46.27156448364258
Trial 22,0.101826631876726,0.1231706961479269,-0.117835388225311,0.0578102659935707,0.0664134761541412,0.1663082247173348,-0.0627194812960594,44.53036880493164
Trial 23,0.2270569592019299,0.1017472768130268,-0.1113537267339252,0.1014632283973435,0.1067349296758564,0.1412698299794934,-0.0645713089058348,43.433326721191406
