trial_name,h_flex_torque_scale,h_ext_torque_scale,hip_delay_idx,cost
Trial 1,0.1991357467150582,0.04585869746654095,58.476825020457696,4.99
Trial 2,0.14921253948662175,0.11145818821339779,7.4981186863502165,4.97
Trial 3,0.11481222299146679,0.08342715278475546,10.715011344145559,5.32
Trial 4,0.16272211823721322,0.014102894756775064,54.149907920011856,5.1
Trial 5,0.23463817725393754,0.00019469146025358208,74.41586694684132,5.19
Trial 6,0.18884035257941312,0.10628896862281118,15.595624715114162,4.86
Trial 7,0.16276925637548612,0.2287399188859452,63.75289333423495,5.19
Trial 8,0.22011695975381443,0.1560885120334483,22.172526437828548,4.83
Trial 9,0.24943512126223547,0.06669525356882125,73.24612168744896,5.24
Trial 10,0.12943783763187003,0.209427526476832,50.676758777946056,5.04
Trial 11,0.11126139441123115,0.04278118797623798,30.895421040906225,5.01
Trial 12,0.23669085483370159,0.08623166537481189,5.936620017578615,4.72
Trial 13,0.16455589650944458,0.16811928224798442,68.17224249683288,4.78
Trial 14,0.17435392488163723,0.16621686240043715,5.330478322266124,4.99
Trial 15,0.15209621021842604,0.07439597975273818,16.592845317304647,4.96
