trial,action,Metabolic Cost est,Comfort est,type
1,"[0.020027, 0.28719, 25.3015]",4.33548,2.59638,antipareto
2,"[0.174639, 0.162285, 2.74781]",4.13734,3.90635,pareto
3,"[0.215579, 0.286794, 70.7311]",4.89132,2.73084,antipareto
4,"[0.187793, 0.21934, 5.52246]",4.08039,3.34259,pareto
5,"[0.298681, 0.097134, 69.1902]",5.10358,3.4239,antipareto
6,"[0.175099, 0.296088, 5.70101]",4.00589,2.7007,pareto
