trial,avg,estimate,std
walk_opt_1,2.1317479020836023,2.097769846804504,0.5021513797827925
walk_opt_2,2.338127218906055,2.367099096261817,0.46692651983395367
walk_opt_3,2.38579749875156,2.3760940081564605,0.288806153565258
walk_opt_4,2.03874154007088,2.014068325270547,0.31508357334557274
walk_opt_5,2.01803804078953,2.044947433518787,0.3189804912920562
walk_opt_6,2.1501125739162252,2.1316771079018095,0.39079008037829127
walk_opt_7,2.311001713784494,2.2326458724015437,0.3298248101516838
walk_opt_8,2.6189713639201,2.6459479292969377,0.31255503595629297
walk_opt_9,2.367956847815231,2.2781348674392685,0.3462134337610066
walk_opt_10,2.41590391298377,2.4047301412941957,0.43406868909095053
walk_opt_11,2.3721423856171167,2.3485642853040405,0.3638206365828194
walk_opt_12,2.1816339691635456,2.228082740579979,0.4230855067237965
walk_opt_13,2.1113443002496886,2.200047892477458,0.5159892367728355
walk_opt_14,2.2728687021223473,2.2984147491506413,0.28492098657074144
walk_opt_15,2.017959308127771,2.1552504334898086,0.4609881468328631
walk_opt_16,2.0823047481172727,2.1362900876385886,0.45444359290062525
walk_opt_17,2.1746008394547136,2.1293673563377253,0.6426993025882586
walk_opt_18,2.2124710625922144,2.1965260597616716,0.5517251381210729
walk_opt_19,2.4540922624340546,2.396421138797794,0.48402553660841136
walk_opt_20,2.8607106311251562,2.964233362956431,0.6662145315173011
walk_opt_21,2.4846584715128817,2.549923645352646,0.4356078184548142
walk_opt_22,2.561048694529565,2.4945453660174084,0.64743586211374
walk_opt_23,2.11080647555475,2.1889895019941736,0.6212681599242879
walk_opt_24,2.5661173774807358,2.4601361405419886,0.5196517277225615
