trial,action,Metabolic Cost est,Comfort est,type
1,"[0.298681, 0.097134, 69.1902]",3.88199,1.46438,antipareto
2,"[0.177765, 0.266597, 21.1769]",4.24262,1.7193,antipareto
3,"[0.0181107, 0.0424992, 4.40409]",3.99324,5.20208,pareto
4,"[0.291794, 0.0459993, 67.868]",3.84589,0.893168,antipareto
5,"[0.062995, 0.00372959, 24.9844]",3.83312,3.96525,pareto
6,"[0.289464, 0.0284884, 27.2452]",3.77723,1.65563,pareto
